BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2021;020000303;750814030;2400;;;15.21;;15.21;8.32;115.19;;93.84;65.35;6.75;;47.11;336.56;;4.66;4.66;;3.01;359.44
Q24;2021;020000303;750814030;9999;5.01;0.2;54.64;;59.85;10.27;120.83;;98.78;68.22;6.75;;49.07;353.92;;4.66;4.66;6.63;59.97;485.03
Q24;2021;020000360;020014742;1000;1.07;0.67;10.83;;12.57;;;;;;;;;;;;;;1.62;14.19
Q24;2021;020000360;020014742;2000;;;;;;;8.01;0.87;5.99;6.24;;;;21.11;;;;2.97;;24.08
Q24;2021;020000360;020014742;2100;;;;;;;8.01;0.87;5.99;6.24;;;;21.11;;;;2.97;;24.08
Q24;2021;020000360;020014742;9999;1.07;0.67;10.83;;12.57;;8.01;0.87;5.99;6.24;;;;21.11;;;;2.97;1.62;38.27
Q24;2021;020000386;020000600;2000;;;6.48;;6.48;1.85;22.51;;6.3;;1.67;;;32.33;1;0.42;1.42;;14.86;55.09
Q24;2021;020000386;020000600;2200;;;6.48;;6.48;1.85;22.51;;6.3;;1.67;;;32.33;1;0.42;1.42;;14.86;55.09
Q24;2021;020000386;020000600;9999;;;6.48;;6.48;1.85;22.51;;6.3;;1.67;;;32.33;1;0.42;1.42;;14.86;55.09
Q24;2021;020000394;020000253;1000;4.11;1;77.74;;82.85;5;28.81;0.54;24.83;59.78;1.25;;4.09;124.3;1;1.19;2.19;40.44;94;343.78
Q24;2021;020000394;020000253;2000;0;0;50.05;;50.05;8.4;212.88;18.49;140.04;16.51;6.92;19.28;3.78;426.3;1.37;2.39;3.76;0;14.88;494.99
Q24;2021;020000394;020000253;2100;0;0;48.92;;48.92;8.4;210.84;18.49;140.04;16.51;6.67;19.28;3.31;423.54;0.37;2.39;2.76;0;14.88;490.1
Q24;2021;020000394;020000253;2400;0;0;1.13;;1.13;0;2.04;0;0;0;0.25;;0.47;2.76;1;0;1;0;0;4.89
Q24;2021;020000394;020000253;9999;4.11;1;127.79;;132.9;13.4;241.69;19.03;164.87;76.29;8.17;19.28;7.87;550.6;2.37;3.58;5.95;40.44;108.88;838.77
Q24;2021;020000519;020000261;1000;3.54;;61.29;;64.83;4.84;17.32;3.18;41.6;27.55;0.4;0.19;1.65;96.73;1.43;2.05;3.48;1.56;149.16;315.76
Q24;2021;020000519;020000261;2000;;;71.94;;71.94;11.49;291.53;29.63;211.81;97.69;2.2;18.4;6.87;669.62;;0.45;0.45;50.45;18.43;810.89
Q24;2021;020000519;020000261;2100;;;70.61;;70.61;10.47;275.7;29.63;187.48;88.92;2.2;18.4;6.28;619.08;;0.45;0.45;50.45;18.43;759.02
Q24;2021;020000519;020000261;2400;;;1.33;;1.33;1.02;15.83;;24.33;8.77;;;0.59;50.54;;;;0;;51.87
