,Editeur,titres
311,ASSOCIATION CROIRE PUBLICATIONS,2
2518,LE REVENU FRANCAIS EDITIONS,2
226,ARNOLDO MONDADORI EDITORE SPA,2
2232,JBH SANTE,2
4669,WORLD NEWS MEDIA LTD,2
3276,RC EDITIONS,1
3282,"READER'S DIGEST ASSOCIATION, INC",1
3320,ROADMEDIA,1
3281,RD COM,1
3275,RAW VISION LTD,1
3280,RCSQUOTIDIANI SPA,1
2604,LES EDITIONS DES CAHIERS DE LA MEDECINE UTOPIQUE,1
3277,RC MEDIA,1
2583,LES EDITIONS CVMAG,1
3278,RCR EDITIONS,1
3279,RCS QUOTIDIANI SPA,1
3307,REVUE FRANCAISE D'ECONOMIE,1
2582,LES EDITIONS CROQUE FUTUR,1
3321,ROCK SOUND,1
3274,RADIO ZINZINE,1
3265,QU'EST-CE QU'ON FAIT,1
3328,ROSSEL ET CIE,1
3327,ROSS PERIODICALS INC,1
2580,LES EDITIONS AVENIR CONTRUCTION,1
3325,ROI DORE EDITIONS YOT-ART,1
3266,QUATRE,1
3324,ROGER REGIS,1
3267,QUILTMANIA,1
2605,LES EDITIONS DES FEDERES,1
2581,LES EDITIONS CORREZIENNES,1
3269,R.A. IMAGE,1
3270,R.P. PRESSE,1
3323,RODALE INC.,1
3322,RODALE - MOTOR - PRESSE GMBH & CO,1
3271,R2 PRESSE,1
3272,R2P,1
3273,RADIANCE GROUPE HUMANIS,1
2603,LES EDITIONS DE VERNEUIL,1
3317,RIVERSIDE PUBLICATION,1
2584,LES EDITIONS D'ACAMAR,1
3310,REX PUBLICATIONS LTD,1
3312,RH EDITIONS,1
3296,RESEAU D'INFORMATION SUR LES REFRACTAIRES CE QU'IL FAUT DETRUIRE (RIRE CQFD),1
3297,RESEAU FEF,1
2595,LES EDITIONS DE LA REINETTE,1
3298,REUNION DES MUSEES NATIONAUX,1
3311,RH & M EDITIONS,1
2594,LES EDITIONS DE LA PRESSE SPECIALISEE,1
2591,LES EDITIONS DE LA COMMUNICATION,1
3301,REVOLUTION INTERNATIONAL LTD,1
3294,RENAISSANCE CATHOLIQUE - PUBLICATIONS,1
3302,REVOLUTION-TMI,1
3303,REVUE DES DEUX MONDES,1
3309,REVUE TOROS,1
2592,LES EDITIONS DE LA GAZETTE,1
3304,REVUE DU NORD - ARCHEOLOGIE DE LA PICARDIE ET DU NORD DE LA France,1
3305,REVUE DU VIN DE FRANCE,1
3306,REVUE EXPERTS,1
2593,LES EDITIONS DE LA NOUVELLE FRANCE,1
3295,RESEAU CIVAM,1
3293,RELOAD PROD,1
3283,REAL,1
3288,REGARDS SUR LE HAUT-DOUBS,1
3284,RECMA,1
3285,REED BUSINESS INFORMATION LTD,1
3318,RJ COMMUNICATION & MEDIA LTD,1
3308,REVUE GENERALE DES ROUTES ET DE L'AMENAGEMENT,1
2602,LES EDITIONS DE PROVENCE,1
3286,REGAIN,1
3287,REGARDS SUR LE GERS,1
2586,LES EDITIONS DE CELESTINA,1
3289,REGI' ARM,1
2590,LES EDITIONS DE L'EXPRESSION,1
2600,LES EDITIONS DE LA VIE DU RAIL,1
2599,LES EDITIONS DE LA SEMAINE,1
2588,LES EDITIONS DE L'ENSEIGNE,1
3314,RHONE-ALPES PETANQUE EDITIONS,1
2597,LES EDITIONS DE LA ROSE D'EXPLOITATION,1
3292,RELAIS - M.S.,1
2589,LES EDITIONS DE L'ENVIRONNEMENT,1
3313,RHOLIX,1
3264,QOA - QUAND ON AIME,1
2828,MIEUX PRESCRIRE,1
3263,Paul LANGEVIN,1
2633,LES EDITIONS IMAGINAIRES,1
3193,PRESSE & EDITIONS D'AUVERGNE,1
2639,LES EDITIONS M.F.,1
2638,LES EDITIONS LOIRE ET TERROIRS,1
2636,LES EDITIONS KERYGMA,1
3194,PRESSE EDITION COMMUNICATION INTERNATIONALES (PECI),1
3195,PRESSE EDITION PUBLICITE,1
3196,PRESSE EDITION SURDITE,1
2634,LES EDITIONS INDEPENDANTES,1
3197,PRESSE ENTREPRISES CHARENTE,1
3198,PRESSE ET MEDIAS DE GIRONDE,1
3199,PRESSE FACTORY,1
2632,LES EDITIONS ET PUBLICATIONS AGRICOLES FRANCAISES,1
2629,LES EDITIONS DU REVEIL DES COMBATTANTS,1
