,date de notification,date de fin,prestataire,objet,montant
14,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,390240.0
15, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,359400.0
16,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,331680.0
17,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,299520.0
18, 12/05/2017,2019-12-30 00:00:00,INFORMATIQUE CONVIVIALE CONSEIL, Appui à la création et à l’animation d’un incubateur,294840.0
19,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",294465.0
20,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,293760.0
21,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,293760.0
22,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,293760.0
23,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,292320.0
24,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,289843.2
25,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,277704.0
26,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",272925.0
27,43262,2022-06-10 00:00:00,INOP S,Assistance à la conception et à la mise en œuvre opérationnelle de projets de modernisation de l'action publique ,265980.0
28,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,260160.0
29,43319,2021-08-06 00:00:00,CODEURS EN LIBERTE,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,259992.0
30,43262,2022-06-10 00:00:00,CAPGEMINI CONSULTING,Assistance à la conception et à la mise en œuvre opérationnelle de projets de modernisation de l'action publique ,258120.0
31,43209,2022-04-18 00:00:00,ERNST ET YOUNG ADVISORY,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°3",252900.0
32,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,251520.0
33,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",249720.0
34, , ,ERNST ET YOUNG ADVISORY, ,249600.0
35, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,248760.0
36,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,248640.0
37,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,248040.0
38,43860,2024-01-29 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINUM dans l’appui à la création et à l’animation d’un incubateur de services publics numériques en mode agile ,246132.0
39,43208,2022-04-17 00:00:00,BEARINGPOINT FRANCE SAS,"Conseil et expertise SI (DINSIC) - LOT 1
Attributaire n°1",245610.37
40,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,245088.0
